Time;Version;ERROR_CODE;FLOW_S_SO_2;GEN_COST;GEN_N_G;GEN_SE_G;GEN_SO_G1;GEN_SO_G2;GEN_VOL_DOWN_CHARBON;GEN_VOL_UP_CHARBON;INIT_BAL_AREA_0;LOAD_COST;LOSSES;MAX_THREAT_1_FLOW_S_SO_2;MAX_TMP_THREAT_FLOW_S_SO_2;OVERLOAD_BASECASE;OVERLOAD_OUTAGES;MAX_THREAT_1_NAME_S_SO_2;MAX_TMP_THREAT_NAME_S_SO_2;TOPOLOGY_S_SO_1
2015-01-01T01:00:00+01:00;1;0.0;-288.0;845.9;;8.4;;-8.4;-8.4;8.4;0.0;0.0;23.9;-319.3;-480.0;0.0;0.0;SO_NO_2;S_SO_1;SOO1_SOO1_DJ_OMN
2015-01-01T02:00:00+01:00;1;0.0;-288.0;850.5;;8.4;-8.4;;-8.4;8.4;0.0;0.0;23.9;-319.3;-480.0;0.0;0.0;SO_NO_2;S_SO_1;S_SO_2
2015-01-01T03:00:00+01:00;1;0.0;-84.0;78470.4;176.9;600.0;-776.9;;-776.9;776.9;0.0;0.0;3.3;-100.0;-140.0;0.0;0.0;SE_NE_1;S_SO_1;S_SO_2
