Time;Version;ERROR_CODE;FLOW_S_SO_2;GEN_COST;GEN_SE_G;GEN_SO_G1;GEN_VOL_DOWN_CHARBON;GEN_VOL_UP_CHARBON;INIT_BAL_AREA_0;LOAD_COST;LOAD_SE_L1;LOSSES;MAX_THREAT_1_FLOW_S_SO_2;OVERLOAD_BASECASE;OVERLOAD_OUTAGES;MAX_THREAT_1_NAME_S_SO_2;TOPOLOGY_S_SO_1
2015-01-01T01:00:00+01:00;1;0.0;-290.5;0.0;;;;;0.0;0.0;;24.3;-322.1;0.0;0.0;SO_NO_2;SOO1_SOO1_DJ_OMN
2015-01-01T02:00:00+01:00;1;0.0;-290.6;0.0;;;;;0.0;0.0;;24.3;-322.2;0.0;0.0;SO_NO_2;S_SO_2
2015-01-01T03:00:00+01:00;1;0.0;-90.6;60666.4;600.0;-666.4;-666.4;600.0;0.0;862935.1;66.4;2.2;-100.0;0.0;0.0;SO_NO_2;S_SO_2
