Time;Version;ERROR_CODE;FLOW_S_SO_2;GEN_COST;GEN_CUR_COST;GEN_CUR_SO_G1_S_SO_1;GEN_CUR_SO_G2_S_SO_1;GEN_CUR_VOL_DOWN_CHARBON;GEN_N_G;GEN_SE_G;GEN_SO_G1;GEN_VOL_DOWN_CHARBON;GEN_VOL_UP_CHARBON;INIT_BAL_AREA_0;LOAD_COST;LOAD_CUR_COST;LOAD_CUR_SE_L1_S_SO_1;LOSSES;MAX_THREAT_1_FLOW_S_SO_2;OVERLOAD_BASECASE;OVERLOAD_OUTAGES;MAX_THREAT_1_NAME_S_SO_2
2015-01-01T01:00:00+01:00;1;0.0;-290.5;0.0;0.2;;-168.4;-168.4;;;;;;0.0;0.0;1.7;-168.4;24.3;-400.0;0.0;0.0;S_SO_1
2015-01-01T02:00:00+01:00;1;0.0;-290.5;0.0;0.2;-168.4;;-168.4;;;;;;0.0;0.0;1.7;-168.4;24.3;-400.0;0.0;0.0;S_SO_1
2015-01-01T03:00:00+01:00;1;0.0;-84.0;78465.1;0.1;-80.0;;-80.0;176.9;600.0;-776.9;-776.9;776.9;0.0;0.0;0.8;-80.0;3.3;-100.0;0.0;0.0;S_SO_1
