Time;Version;ERROR_CODE;FLOW_NE_NO_1;FLOW_NE_N_1;FLOW_NE_N_2;FLOW_NO_N_1;FLOW_NO_N_2;FLOW_SE_NE_1;FLOW_SE_NE_2;FLOW_SO_NO_1;FLOW_SO_NO_2;FLOW_S_SE_1;FLOW_S_SE_2;FLOW_S_SO_1;FLOW_S_SO_2;GEN_COST;INIT_BAL_AREA_0;LOAD_COST;LOSSES;MAX_THREAT_1_FLOW_NE_NO_1;MAX_THREAT_1_FLOW_NE_N_1;MAX_THREAT_1_FLOW_NE_N_2;MAX_THREAT_1_FLOW_NO_N_1;MAX_THREAT_1_FLOW_NO_N_2;MAX_THREAT_1_FLOW_SE_NE_1;MAX_THREAT_1_FLOW_SE_NE_2;MAX_THREAT_1_FLOW_SO_NO_1;MAX_THREAT_1_FLOW_SO_NO_2;MAX_THREAT_1_FLOW_S_SE_1;MAX_THREAT_1_FLOW_S_SE_2;MAX_THREAT_1_FLOW_S_SO_1;MAX_THREAT_1_FLOW_S_SO_2;OVERLOAD_BASECASE;OVERLOAD_OUTAGES;MAX_THREAT_1_NAME_NE_NO_1;MAX_THREAT_1_NAME_NE_N_1;MAX_THREAT_1_NAME_NE_N_2;MAX_THREAT_1_NAME_NO_N_1;MAX_THREAT_1_NAME_NO_N_2;MAX_THREAT_1_NAME_SE_NE_1;MAX_THREAT_1_NAME_SE_NE_2;MAX_THREAT_1_NAME_SO_NO_1;MAX_THREAT_1_NAME_SO_NO_2;MAX_THREAT_1_NAME_S_SE_1;MAX_THREAT_1_NAME_S_SE_2;MAX_THREAT_1_NAME_S_SO_1;MAX_THREAT_1_NAME_S_SO_2
2015-01-01T01:00:00+01:00;1;0.0;-176.9;-101.0;-101.0;101.0;101.0;-189.5;-189.5;189.5;189.5;290.5;290.5;-290.5;-290.5;0.0;0.0;0.0;24.3;-225.3;-125.3;-125.3;125.3;125.3;-237.9;-237.9;237.9;237.9;242.1;242.1;0.0;-484.2;0.0;0.0;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1
2015-01-01T02:00:00+01:00;1;0.0;-176.9;-101.0;-101.0;101.0;101.0;-189.5;-189.5;189.5;189.5;290.5;290.5;-290.5;-290.5;0.0;0.0;0.0;24.3;-225.3;-125.3;-125.3;125.3;125.3;-237.9;-237.9;237.9;237.9;242.1;242.1;0.0;-484.2;0.0;0.0;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1
2015-01-01T03:00:00+01:00;1;0.0;-176.9;-101.0;-101.0;101.0;101.0;-189.5;-189.5;189.5;189.5;290.5;290.5;-290.5;-290.5;0.0;0.0;0.0;24.3;-225.3;-125.3;-125.3;125.3;125.3;-237.9;-237.9;237.9;237.9;242.1;242.1;0.0;-484.2;0.0;0.0;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1;S_SO_1
